,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
648,1626192,2023-24,00,1610612749,MIL,31.0,76,3,1676.0,151,347,0.435,82,238,0.345,44,58,0.759,51,188,239,161,40,19,49,99,428,Pat Connaughton,2015,41
649,1641731,2023-24,00,1610612764,WAS,19.0,63,15,1715.0,188,432,0.435,64,185,0.346,92,131,0.702,56,200,256,110,57,48,87,137,532,Bilal Coulibaly,2023,7
650,1641741,2023-24,00,1610612755,PHI,22.0,32,0,289.0,54,112,0.482,12,32,0.375,53,71,0.746,14,32,46,16,8,1,5,17,173,Ricky Council IV,Undrafted,Undrafted
667,203496,2023-24,00,1610612746,LAC,33.0,3,3,69.0,3,9,0.333,2,8,0.25,1,2,0.5,2,6,8,7,6,2,0,7,9,Robert Covington,Undrafted,Undrafted
668,203496,2023-24,00,1610612755,PHI,33.0,26,3,419.0,40,89,0.449,17,48,0.354,21,24,0.875,29,60,89,17,33,16,11,49,118,Robert Covington,Undrafted,Undrafted
680,1628470,2023-24,00,1610612741,CHI,33.0,53,14,1049.0,108,251,0.43,60,153,0.392,27,36,0.75,69,148,217,58,30,21,32,110,303,Torrey Craig,Undrafted,Undrafted
698,203109,2023-24,00,1610612749,MIL,33.0,50,25,1156.0,114,270,0.422,58,166,0.349,26,36,0.722,31,130,161,66,38,9,23,74,312,Jae Crowder,2012,34
701,1630595,2023-24,00,1610612765,DET,22.0,62,62,2074.0,524,1167,0.449,119,335,0.355,238,274,0.869,33,235,268,464,56,22,212,153,1405,Cade Cunningham,2021,1
715,203552,2023-24,00,1610612742,DAL,33.0,36,3,457.0,54,145,0.372,29,80,0.363,17,19,0.895,15,37,52,30,17,3,16,32,154,Seth Curry,Undrafted,Undrafted
716,203552,2023-24,00,1610612766,CHA,33.0,8,1,159.0,26,59,0.441,9,28,0.321,11,12,0.917,3,13,16,14,5,3,5,7,72,Seth Curry,Undrafted,Undrafted
732,201939,2023-24,00,1610612744,GSW,36.0,74,74,2422.0,650,1445,0.45,357,876,0.408,299,324,0.923,37,293,330,379,54,28,210,117,1956,Stephen Curry,2009,7
734,1630700,2023-24,00,1610612740,NOP,21.0,61,16,1359.0,139,311,0.447,42,135,0.311,34,53,0.642,62,174,236,164,85,25,59,101,354,Dyson Daniels,2022,8
746,203076,2023-24,00,1610612747,LAL,31.0,76,76,2700.0,713,1283,0.556,29,107,0.271,421,516,0.816,239,722,961,266,91,178,159,177,1876,Anthony Davis,2012,1
748,1631098,2023-24,00,1610612764,WAS,22.0,50,6,614.0,62,154,0.403,14,40,0.35,14,24,0.583,18,54,72,32,18,10,13,57,152,Johnny Davis,2022,10
750,1631120,2023-24,00,1610612738,BOS,21.0,8,0,39.0,5,12,0.417,3,7,0.429,3,4,0.75,2,8,10,10,1,1,2,4,16,JD Davison,2022,53
765,201942,2023-24,00,1610612741,CHI,34.0,79,79,2989.0,650,1355,0.48,75,225,0.333,522,612,0.853,43,297,340,421,90,45,135,161,1897,DeMar DeRozan,2009,9
766,1641926,2023-24,00,1610612742,DAL,25.0,4,0,30.0,10,19,0.526,1,8,0.125,1,3,0.333,1,8,9,4,0,1,3,1,22,Dexter Dennis,Undrafted,Undrafted
774,1628978,2023-24,00,1610612752,NYK,27.0,81,63,2360.0,445,1004,0.443,283,705,0.401,86,114,0.754,63,234,297,216,107,36,113,166,1259,Donte DiVincenzo,2018,17
776,1631217,2023-24,00,1610612746,LAC,22.0,11,0,64.0,10,19,0.526,0,0,0.0,9,14,0.643,15,9,24,4,5,1,2,4,29,Moussa Diabate,2022,43
777,1641711,2023-24,00,1610612761,TOR,20.0,60,17,1268.0,189,445,0.425,88,241,0.365,44,51,0.863,27,105,132,68,34,2,50,87,510,Gradey Dick,2023,13
779,1631172,2023-24,00,1610612760,OKC,21.0,33,0,365.0,49,116,0.422,21,70,0.3,14,16,0.875,10,41,51,37,8,5,19,22,133,Ousmane Dieng,2022,11
793,203915,2023-24,00,1610612751,BKN,31.0,48,48,1474.0,195,499,0.391,89,278,0.32,125,160,0.781,26,132,158,288,38,9,62,86,604,Spencer Dinwiddie,2014,38
794,203915,2023-24,00,1610612747,LAL,31.0,28,4,679.0,56,141,0.397,35,90,0.389,44,50,0.88,4,43,47,68,13,13,29,52,191,Spencer Dinwiddie,2014,38
801,1629029,2023-24,00,1610612742,DAL,25.0,70,70,2624.0,804,1652,0.487,284,744,0.382,478,608,0.786,59,588,647,686,99,38,282,149,2370,Luka Doncic,2018,3
806,1629652,2023-24,00,1610612760,OKC,25.0,79,79,2246.0,288,657,0.438,156,396,0.394,128,155,0.826,74,210,284,113,72,47,74,228,860,Luguentz Dort,Undrafted,Undrafted
809,1630245,2023-24,00,1610612741,CHI,24.0,76,37,2212.0,360,719,0.501,119,295,0.403,85,105,0.81,54,162,216,242,68,36,103,166,924,Ayo Dosunmu,2021,38
827,203083,2023-24,00,1610612741,CHI,30.0,79,10,1351.0,267,480,0.556,0,3,0.0,129,218,0.592,265,443,708,37,73,48,81,140,663,Andre Drummond,2012,9
830,1630537,2023-24,00,1610612758,SAC,26.0,59,11,720.0,80,210,0.381,44,127,0.346,26,33,0.788,26,80,106,44,28,8,26,80,230,Chris Duarte,2021,13
838,1627739,2023-24,00,1610612762,UTA,30.0,66,32,1249.0,147,313,0.47,41,111,0.369,22,32,0.688,50,139,189,254,68,28,79,135,357,Kris Dunn,2016,5
856,201142,2023-24,00,1610612756,PHX,35.0,75,75,2791.0,751,1436,0.523,168,407,0.413,362,423,0.856,41,454,495,378,69,91,244,133,2032,Kevin Durant,2007,2
858,1631105,2023-24,00,1610612765,DET,20.0,61,60,1777.0,349,564,0.619,0,4,0.0,143,181,0.79,192,517,709,147,33,47,129,192,841,Jalen Duren,2022,13
860,1631106,2023-24,00,1610612745,HOU,23.0,22,0,480.0,88,189,0.466,18,50,0.36,21,33,0.636,46,107,153,27,31,19,20,51,215,Tari Eason,2022,17
864,1630162,2023-24,00,1610612750,MIN,22.0,79,78,2770.0,718,1558,0.461,190,532,0.357,423,506,0.836,52,378,430,405,101,42,241,141,2049,Anthony Edwards,2020,1
869,1630556,2023-24,00,1610612758,SAC,23.0,54,0,275.0,34,82,0.415,20,52,0.385,5,9,0.556,9,33,42,15,10,4,4,26,93,Kessler Edwards,2021,44
871,1631165,2023-24,00,1610612758,SAC,24.0,57,21,979.0,107,232,0.461,70,168,0.417,26,35,0.743,32,92,124,85,51,29,37,112,310,Keon Ellis,Undrafted,Undrafted
879,203954,2023-24,00,1610612755,PHI,30.0,39,39,1309.0,450,851,0.529,54,139,0.388,399,452,0.883,95,335,430,219,46,66,150,112,1353,Joel Embiid,2014,3
887,1629234,2023-24,00,1610612756,PHX,27.0,75,6,1169.0,152,253,0.601,3,3,1.0,72,93,0.774,103,219,322,63,27,61,61,115,379,Drew Eubanks,Undrafted,Undrafted
896,203957,2023-24,00,1610612742,DAL,28.0,55,17,1088.0,161,302,0.533,53,108,0.491,53,68,0.779,25,124,149,157,22,5,49,85,428,Dante Exum,2014,5
905,1628981,2023-24,00,1610612737,ATL,25.0,45,2,682.0,109,187,0.583,0,4,0.0,64,96,0.667,59,134,193,46,25,28,44,107,282,Bruno Fernando,2019,34
915,1627827,2023-24,00,1610612751,BKN,31.0,68,56,1935.0,215,511,0.421,117,336,0.348,33,46,0.717,109,208,317,107,56,38,59,150,580,Dorian Finney-Smith,Undrafted,Undrafted
919,1630201,2023-24,00,1610612761,TOR,26.0,31,0,474.0,56,137,0.409,28,80,0.35,17,22,0.773,13,52,65,73,18,6,33,42,157,Malachi Flynn,2020,29
